trmt,week,weight
0Q30W,1,0.1
0Q30W,1,0.1
0Q30W,1,0.1
0Q30W,1,0.1
0Q30W,1,0.1
0Q30W,1,0.1
1Q30W,1,0.1
1Q30W,1,0.1
1Q30W,1,0.1
1Q30W,1,0.1
1Q30W,1,0.1
1Q30W,1,0.1
1Q30W,1,0.1
5Q30W,1,0.1
5Q30W,1,0.1
5Q30W,1,0.1
5Q30W,1,0.1
5Q30W,1,0.1
10Q30W,1,0.1
10Q30W,1,0.1
10Q30W,1,0.1
10Q30W,1,0.1
10Q30W,1,0.1
10Q30W,1,0.1
10Q30W,1,0.1
10Q30W,1,0.1
0Q30W,2,0.1765
0Q30W,2,0.1776
0Q30W,2,0.1059
0Q30W,2,0.2232
0Q30W,2,0.1716
0Q30W,2,0.2326
1Q30W,2,0.2569
1Q30W,2,0.208
1Q30W,2,0.2267
1Q30W,2,0.285
1Q30W,2,0.3113
1Q30W,2,0.1546
1Q30W,2,0.2321
5Q30W,2,0.2126
5Q30W,2,0.1389
5Q30W,2,0.2816
5Q30W,2,0.1654
5Q30W,2,0.2688
10Q30W,2,0.2278
10Q30W,2,0.1903
10Q30W,2,0.1811
10Q30W,2,0.1998
10Q30W,2,0.1638
10Q30W,2,0.1741
10Q30W,2,0.2389
10Q30W,2,0.1917
0Q30W,3,0.1825
0Q30W,3,0.1291
0Q30W,3,0.3113
0Q30W,3,0.2813
0Q30W,3,0.1781
0Q30W,3,0.3331
1Q30W,3,0.2554
1Q30W,3,0.2319
1Q30W,3,0.2712
1Q30W,3,0.2681
1Q30W,3,0.2381
1Q30W,3,0.1317
1Q30W,3,0.1
5Q30W,3,0.4597
5Q30W,3,0.1986
5Q30W,3,0.1605
5Q30W,3,0.2572
5Q30W,3,0.3438
10Q30W,3,0.174
10Q30W,3,0.1985
10Q30W,3,0.2097
10Q30W,3,0.1182
10Q30W,3,0.1154
10Q30W,3,0.1318
10Q30W,3,0.19
10Q30W,3,0.2498
0Q30W,4,0.1865
0Q30W,4,0.1626
0Q30W,4,0.37795
0Q30W,4,0.2501
0Q30W,4,0.1388
0Q30W,4,0.3422
1Q30W,4,0.2641
1Q30W,4,0.2202
1Q30W,4,0.4424
1Q30W,4,0.3765
1Q30W,4,0.2916
1Q30W,4,0.35
1Q30W,4,0.1
5Q30W,4,0.3617
5Q30W,4,0.1689
5Q30W,4,0.2531
5Q30W,4,0.4139
5Q30W,4,0.1
10Q30W,4,0.15565
10Q30W,4,0.2287
10Q30W,4,0.2402
10Q30W,4,0.1298
10Q30W,4,0.1193
10Q30W,4,0.1814
10Q30W,4,0.2939
10Q30W,4,0.1
0Q30W,5,0.1905
0Q30W,5,0.1961
0Q30W,5,0.4446
0Q30W,5,0.2204
0Q30W,5,0.2861
0Q30W,5,0.3559
1Q30W,5,0.2728
1Q30W,5,0.201
1Q30W,5,0.505
1Q30W,5,0.582
1Q30W,5,0.1257
1Q30W,5,0.4181
1Q30W,5,0.1
5Q30W,5,0.3475
5Q30W,5,0.1197
5Q30W,5,0.1939
5Q30W,5,0.4676
5Q30W,5,0.1
10Q30W,5,0.1939
10Q30W,5,0.2037
10Q30W,5,0.251
10Q30W,5,0.1492
10Q30W,5,0.1335
10Q30W,5,0.1772
10Q30W,5,0.2946
10Q30W,5,0.1
0Q30W,6,0.2595
0Q30W,6,0.177
0Q30W,6,0.4749
0Q30W,6,0.2
0Q30W,6,0.2668
0Q30W,6,0.3631
1Q30W,6,0.2303
1Q30W,6,0.1892
1Q30W,6,0.4989
1Q30W,6,0.7033
1Q30W,6,0.185
1Q30W,6,0.456
1Q30W,6,0.1
5Q30W,6,0.3194
5Q30W,6,0.1098
5Q30W,6,0.2483
5Q30W,6,0.4401
5Q30W,6,0.1
10Q30W,6,0.2334
10Q30W,6,0.2327
10Q30W,6,0.4412
10Q30W,6,0.1
10Q30W,6,0.1295
10Q30W,6,0.1676
