trmt,Queen,Worker,yr,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13,
1Q6W,1,6,18,0.45,0.429,0.406,0.373,0.355,0.302,0,0,0,0,0,0,0,
1Q6W,1,6,18,0.45,0.449,0.448,0.455,0.447,0.42,0.416,0.371,0.293,0,0,0,0,
1Q6W,1,6,18,0.45,0.452,0.462,0.476,0.459,0.456,0.389,0.27,0.253,0.203,0,0,0,
1Q18W,1,18,18,0.45,0.491,0.484,0.486,0.499,0.493,0.342,0,0,0,0,0,0,
1Q18W,1,18,18,0.45,0.455,0.407,0.396,0.402,0.399,0.413,0.335,0.315,0.318,0.299,0.248,0.22,
1Q18W,1,18,18,0.45,0.272,0.267,0.295,0.291,0.258,0.255,0.214,0.193,0.18,0.162,0.141,0.132,
1Q60W,1,60,18,0.45,0.617,0.746,0.728,0.721,0.74,0.696,0.683,0.685,0.652,0.61,0.526,0.464,
1Q60W,1,60,18,0.45,0.387,0.355,0.362,0.352,0.338,0.311,0.265,0.25,0.233,0.219,0.197,0.17,
1Q60W,1,60,18,0.45,0.48,0.585,0.579,0.576,0.567,0.571,0.484,0.448,0.398,0.367,0.313,0.322,
1Q90W,1,90,18,0.45,0.569,0.573,0.575,0.58,0.579,0.561,0.637,0.616,0.723,0.674,0.7,0.662,
1Q90W,1,90,18,0.45,0.396,0.425,0.477,0.483,0.49,0.438,0.422,0.376,0.32,0.297,0.255,0.227,
1Q90W,1,90,18,0.45,0.652,0.773,0.833,0.807,0.792,0.796,0.745,0.731,0.398,0.659,0.591,0.545,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
