trmt,Queen,Worker,yr,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13
1Q60W_0.1,1,60,17,0.0993,0.1073,0.273,0.2619,0.4291,0.5929,0.5335,0.5948,0.5586,0.6114,0.6166,0.5634,0.4729
1Q60W_0.1,1,60,17,0.0991,0.032,0.0796,0.0524,0.1534,0.2641,0.1889,0.2575,0.2817,0.2344,0.2097,0.2014,0.1775
1Q60W_0.1,1,60,17,0.1,0.2772,0.4432,0.6212,0.6593,0.6805,0.7519,0.7213,0.7699,0.6853,0.6021,0.5348,0.3787
1Q60W_0.1,1,60,18,0.1,0.191,0.167,0.173,0.223,0.269,0.267,0.238,0.211,0.186,0.156,0.115,0.086
1Q60W_0.1,1,60,18,0.1,0.227,0.216,0.296,0.408,0.493,0.474,0.44,0.432,0.412,0.387,0.334,0.321
1Q60W_0.1,1,60,18,0.1,0.221,0.276,0.279,0.327,0.341,0.322,0.294,0.258,0.23,0.191,0.144,0.105
1Q60W_0.1,1,60,18,0.1,0.202,0.21,0.261,0.296,0.281,0.261,0.221,0.198,0.168,0.137,0.1,0.07
1Q60W_0.1,1,60,18,0.1,0.051,0.056,0.037,0.039,0.092,0.165,0.149,0.1995,0.25,0.267,0.248,0.25
1Q60W_0.1,1,60,18,0.1,0.09,0.152,0.245,0.451,0.432,0.424,0.39,0.3835,0.377,0.363,0.338,0.331
1Q60W_0.1,1,60,18,0.1,0.068,0.114,0.255,0.255,0.261,0.353,0.385,0.3915,0.398,0.395,0.37,0.355
1Q90W_0.1,1,90,17,0.0999,0.0851,0.3221,0.6935,0.9393,0.9297,0.6638,0.5701,0.5015,0.4815,0.4753,0.4134,0.3437
1Q90W_0.1,1,90,17,0.1037,0.2036,0.6807,1.0575,1.2127,1.1012,0.9743,0.8336,0.68,0.6239,0.5502,0.489,0.3677
1Q90W_0.1,1,90,18,0.1,0.131,0.133,0.12,0.183,0.176,0.17,0.151,0.133,0.118,0.099,0.07,0.053
1Q90W_0.1,1,90,18,0.1,0.045,0.051,0.136,0.149,0.143,0.153,0.136,0.154,0.172,0.197,0.188,0.182
1Q90W_0.1,1,90,18,0.1,0.193,0.199,0.312,0.389,0.394,0.395,0.406,0.3855,0.365,0.358,0.325,0.306
1Q90W_0.1,1,90,18,0.1,0.059,0.083,0.132,0.156,0.223,0.222,0.208,0.207,0.206,0.2,0.195,0.206
1Q90W_0.1,1,90,18,0.1,0.098,0.098,0.078,0.07,0.103,0.114,0.09,0.085,0.08,0.095,0.085,0.058
1Q90W_0.1,1,90,18,0.1,0.071,0.048,0.026,0.023,0.015,0.02,0.008,0.004,0,0,0,0
1Q90W_0.1,1,90,18,0.1,0.2,0.238,0.216,0.224,0.209,0.262,0.231,0.281,0.331,0.334,0.306,0.289
1Q60W_0.45,1,60,18,0.45,0.617,0.746,0.728,0.721,0.74,0.696,0.683,0.685,0.652,0.61,0.526,0.464
1Q60W_0.45,1,60,18,0.45,0.387,0.355,0.362,0.352,0.338,0.311,0.265,0.25,0.233,0.219,0.197,0.17
1Q60W_0.45,1,60,18,0.45,0.48,0.585,0.579,0.576,0.567,0.571,0.484,0.448,0.398,0.367,0.313,0.322
1Q90W_0.45,1,90,18,0.45,0.569,0.573,0.575,0.58,0.579,0.561,0.637,0.616,0.723,0.674,0.7,0.662
1Q90W_0.45,1,90,18,0.45,0.396,0.425,0.477,0.483,0.49,0.438,0.422,0.376,0.32,0.297,0.255,0.227
1Q90W_0.45,1,90,18,0.45,0.652,0.773,0.833,0.807,0.792,0.796,0.745,0.731,0.398,0.659,0.591,0.545
